stop_id;historyfact;historyfactSource
IDFM:22101;"La Grande Arche est alignée sur l'axe historique de Paris avec l'Arc de Triomphe et le Louvre.";"https://www.britannica.com/topic/Grande-Arche"
IDFM:463170;"Le site de la Défense était une plaine maraîchère avant sa transformation urbaine.";"https://www.paris.fr/pages/le-quartier-de-la-defense-1563"
IDFM:463257;"La station sert d’accès principal au Palais des Congrès, inauguré en 1974.";"https://www.palaisdescongresparis.com/"
IDFM:22082;"Nommée en hommage au président américain pour son rôle durant la Seconde Guerre mondiale.";"https://museedelaresistanceenligne.org/"
IDFM:22090;"La station porte le nom de Georges Clemenceau, 'Père la Victoire'.";"https://www.histoire-france.org/"
IDFM:463019;"La station se trouve près de l’ancienne forteresse détruite en 1790.";"https://www.archives-nationales.culture.gouv.fr/"
IDFM:463197;"Gare de Lyon est construite à proximité de la Gare de Lyon, importante gare ferroviaire.";"https://www.sncf.com/en"
IDFM:22091;"La station Hôtel de Ville se situe près de l'Hôtel de Ville de Paris datant du XIVe siècle.";"https://www.paris.fr/pages/rendez-vous-madame-le-maire-260"
IDFM:463185;"George V est située sur l'avenue des Champs-Élysées, créée au XVIIe siècle.";"https://en.parisinfo.com/paris-museum-monument/71186/Avenue-des-Champs-Elysees"
IDFM:22100;"Les Sablons est la station la plus proche du Bois de Boulogne, créé au XIXe siècle.";"https://www.parisinfo.com/musee-monument-paris/71148/Bois-de-Boulogne"
IDFM:463121;"Argentine station est située près du Palais de Chaillot construit pour l'Exposition universelle de 1937.";"https://en.parisinfo.com/museum-monuments/71242/Palais-de-Chaillot"
IDFM:22079;"Palais Royal - Musée du Louvre est sous le jardin du Palais Royal, résidence royale du XVIIe siècle.";"https://www.louvre.fr/en"
IDFM:22087;"Châtelet est un ancien lieu de marché médiéval devenu aujourd'hui un carrefour majeur.";"https://www.ratp.fr/en/plan-metro"
IDFM:22103;"Saint-Mandé est une commune attenante à Paris avec un château fort datant du XIVe siècle.";"https://www.ville-saint-mande.fr/"
IDFM:463012;"Porte de Vincennes est une ancienne porte fortifiée de l'enceinte de Paris.";"https://www.paris.fr/pages/la-porte-de-vincennes-6728"
IDFM:463307;"Saint-Paul (Le Marais) est au cœur du Marais, quartier historique fondé au Moyen Âge.";"https://en.parisinfo.com/transport/71201/Le-Marais"
IDFM:463160;"Châtelet (station secondaire) dessert également de nombreux commerces historiques.";"https://www.ratp.fr/en/plan-metro"
IDFM:463013;"Charles de Gaulle - Etoile est célèbre pour son arc de triomphe construit en 1836.";"https://www.parisinfo.com/museum-monument/71303/Arc-de-Triomphe"
IDFM:22102;"Esplanade de la Défense (doublon) est cœur du quartier d'affaires moderne.";"https://www.ladefense.fr/en"
IDFM:22074;"Saint-Paul (Le Marais) est un quartier avec une riche histoire juive remontant au Moyen Âge.";"https://en.parisinfo.com/transport/71201/Le-Marais"
IDFM:22083;"Gare de Lyon (doublon) a été reconstruite pour l'Exposition Universelle de 1900.";"https://www.sncf.com/en"
IDFM:22080;"Nation est connue pour avoir été un lieu d'exécution durant la Révolution française.";"https://en.parisinfo.com/museum-monument/71331/Place-de-la-Nation"
IDFM:22104;"Château de Vincennes est un château médiéval majeur du XIIIe siècle.";"https://www.chateau-vincennes.fr/"
IDFM:463130;"Bérault est un quartier résidentiel avec une histoire locale récente.";"https://www.ville-vincennes.fr/"
IDFM:462943;"Nation (doublon) est un important hub de bus et RER.";"https://fr.wikipedia.org/wiki/Nation_(métro_de_Paris)"
IDFM:463294;"Reuilly - Diderot est un quartier commerçant avec de nombreux marchés traditionnels.";"https://www.parisinfo.com/"
IDFM:463150;"Concorde station est construite sous la place de la Concorde, site majeur de la Révolution Française.";"https://en.parisinfo.com/museum-monument/71039/Place-de-la-Concorde"
IDFM:463044;"Pont de Neuilly est proche du pont reliant Paris à La Défense construit en 1937.";"https://www.paris.fr/pages/le-pont-de-neuilly-2020"
IDFM:22081;"Louvre - Rivoli est proche du Musée du Louvre fondé en 1793.";"https://www.louvre.fr/en"
IDFM:463080;"Hôtel de Ville (doublon) est un autre accès à l'hôtel de ville construit au XIVe siècle.";"https://www.paris.fr/pages/rendez-vous-madame-le-maire-260"
IDFM:463040;"Saint-Mandé (doublon) est une commune historique limitrophe.";"https://www.ville-saint-mande.fr/"
IDFM:463218;"Louvre - Rivoli (doublon) est un point d'accès touristique clé.";"https://www.louvre.fr/en"
IDFM:463010;"Champs-Élysées - Clemenceau (doublon) est un centre historique du shopping parisien.";"https://en.parisinfo.com/shopping/71185/Champs-Elysees"
IDFM:463181;"Franklin D. Roosevelt (doublon) station avec décoration art déco inspirée du président US.";"https://archives.ratp.fr/"
IDFM:22088;"Argentine (doublon) fut inaugurée pour l'exposition universelle de 1900.";"https://archives.paris.fr/"
IDFM:463217;"Les Sablons (doublon) est proche du Bois de Boulogne créé sous Napoléon III.";"https://www.parisinfo.com/musee-monument-paris/71148/Bois-de-Boulogne"
IDFM:22099;"Pont de Neuilly (doublon) facilite la liaison avec la banlieue ouest.";"https://www.paris.fr/pages/le-pont-de-neuilly-2020"
